age,covid_trouble_bills,education,enthusiasm,factory_farming_ban,gender,gss_bible,gss_spanking,gss_trust,id,income,loc_county,lv_likely,race,rigged_who_actually_won,social_fb,survey_method,vote2016,vote2020,vote_method,vote_ossoff_perdue,vote_warnock_loeffler,birth_control,covid_know_dead,covid_positive,covid_reduced_work,loc_east_west,loc_north_south,lv_thought,rigged_trump_concede,rigged_vote_counts,slaughterhouse_ban,urban_rural,vegetarian_imperative
Under 65,No,Graduated from college,More enthusiastic,Don't know,Male,Inspired word,Disagree,Don't know,prolific_f4da5e43653d85ad3b7436a93c03f446c6e545ed4ae917b87e6aa6b6,"Between $15,000 and $49,999","Cobb County, GA",,"Black, non-Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,Yes,No,No,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Don't know,Suburban,Disagree
Under 65,No,Graduated from college,Less enthusiastic,Disagree,Female,Inspired word,Disagree,Can't be too careful,prolific_e241f8f712689e94482f25d9a52a93870e1044be5304b32c99064579,"Over $150,000","Cobb County, GA",Very likely,"White, not Hispanic",Donald Trump,Yes,Online,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Disagree,Yes,No,Yes,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Don't know,Suburban,Disagree
Under 65,No,Graduated from high school,More enthusiastic,Don't know,Other,Book of fables,Disagree,Don't know,prolific_023ee1e41271a25bce109937167e34829b919670e0f1335ac2ac35cb,"Under $15,000",Another county in Georgia,Likely,"White, not Hispanic",Joe Biden,No,Online,Hillary Clinton,Joe Biden,Absentee by mail,David Perdue,Raphael Warnock,Disagree,No,No,Unsure,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Don't know,Suburban,Disagree
Under 65,No,"Some college, no degree",Less enthusiastic,Disagree,Male,Inspired word,Agree,Can't be too careful,prolific_a89edbfed3aea653c072438717ce79ab2bdd63d29191117ab3dafea1,"Under $15,000",Another county in Georgia,Somewhat likely,"White, not Hispanic",Joe Biden,Yes,Online,Did not vote,Did not vote,Absentee by mail,Undecided,Undecided,Disagree,No,No,No,Closer to Alabama,Closer to Florida,Only a little,Yes,Probably Yes,Disagree,Rural,Disagree
Under 65,No,Completed graduate school,More enthusiastic,Don't know,Female,Book of fables,Disagree,Can trust,prolific_a2fbde0b401932f7be45e98115d307b44adf93183b60d56e93b9b87b,"Between $15,000 and $49,999","Fulton County, GA",Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,Yes,No,Yes,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Don't know,Suburban,Disagree
Under 65,Yes,"Some college, no degree",More enthusiastic,Don't know,Male,I don't know,Disagree,Can't be too careful,prolific_4f769311f59981115696cb04e2bd4703572e35c65b25f70be9ab9786,"Under $15,000","Fulton County, GA",Very likely,"Black, non-Hispanic",Don't know / Not sure,No,Online,Did not vote,Other,Absentee by mail,Undecided,Undecided,Disagree,No,No,Yes,Closer to South Carolina,Closer to Tennessee,Quite a lot,Don’t know / not sure,Probably Yes,Don't know,Suburban,Disagree
Under 65,No,"Some college, no degree",More enthusiastic,Disagree,Male,Inspired word,Agree,Can't be too careful,prolific_1c0e70a2a637b9520a82dd04b93815f3d14ffffc76e58688e5d275ea,"Between $15,000 and $49,999","Cobb County, GA",,"White, not Hispanic",Donald Trump,Yes,Online,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Don't know,Yes,Yes,Yes,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Disagree,Suburban,Disagree
Under 65,No,Graduated from college,More enthusiastic,Disagree,Male,Word of God,Agree,Can trust,prolific_a3d3fe8438620ae4fbb95338f94c18c1e2bdee956b8e9e023191f024,"Over $150,000",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Donald Trump,Donald Trump,I will vote on election day,David Perdue,Kelly Loeffler,Disagree,No,No,No,Closer to South Carolina,Closer to Florida,Quite a lot,Yes,Definitely Yes,Disagree,Urban,Agree
Under 65,Unsure,Graduated from college,More enthusiastic,Don't know,Female,Inspired word,Agree,Can't be too careful,prolific_82106b62f42182b564ead5587e55ca78f58d406ecba1de0c20ce0e6f,"Between $15,000 and $49,999",Another county in Georgia,Very likely,"Black, non-Hispanic",Joe Biden,Yes,Online,Other,Did not vote,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,No,No,Yes,Closer to Alabama,Closer to Florida,Quite a lot,Yes,Probably No,Agree,Rural,Don't know
Under 65,Yes,Graduated from college,More enthusiastic,Agree,Male,Book of fables,Agree,Can't be too careful,prolific_8a53c8570294f822ddb15c2c96ea3f9cb5c4cc0e4f04d3eb54987386,"Under $15,000",Another county in Georgia,,"White, not Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,No,No,Yes,Closer to South Carolina,Closer to Florida,Quite a lot,Yes,Definitely Yes,Agree,Suburban,Agree
